kind	time	pc	value
P1	0.000000000	000	ff
P1	0.000015000	757	7f
P1	0.021530000	053	fe
P1	0.594722500	053	02
HOST	1.098669108668	0	00
P1	1.557582500	053	82
P1	1.557877500	053	a0
P1	1.559135000	053	20
RX	1.585421245	000	ff
KEY	1.9331013430994	0	A down
P1	1.945982500	053	a0
P1	1.947535000	053	20
P1	1.949142500	053	a0
P1	1.955535000	053	20
P1	1.958747500	053	a0
P1	1.960330000	053	20
RX	1.974822955	000	61
KEY	2.0721733821713	0	A up
KEY	2.489389499387	0	Shift down
KEY	2.6284615384589	0	A down
P1	2.641982500	053	a0
P1	2.643535000	053	20
P1	2.645142500	053	a0
P1	2.653135000	053	20
P1	2.654750000	053	a0
P1	2.656330000	053	20
RX	2.670183150	000	41
KEY	2.7675335775308	0	A up
KEY	2.9066056166027	0	Shift up
SUMMARY	4.005274725	53a	addresses=2048 matrix_reads=39671 speaker_writes=1
FETCH	0	000	5
FETCH	0	001	5
FETCH	0	002	4
FETCH	0	003	4
FETCH	0	004	4
FETCH	0	005	4
FETCH	0	006	4
FETCH	0	007	9964
FETCH	0	008	9964
FETCH	0	009	9964
FETCH	0	00a	9964
FETCH	0	00b	9964
FETCH	0	00c	9964
FETCH	0	00d	9964
FETCH	0	00e	9964
FETCH	0	00f	9964
FETCH	0	010	9964
FETCH	0	011	4
FETCH	0	012	4
FETCH	0	013	4
FETCH	0	014	4
FETCH	0	015	4
FETCH	0	016	4
FETCH	0	017	4
FETCH	0	018	4
FETCH	0	019	9964
FETCH	0	01a	9964
FETCH	0	01b	9964
FETCH	0	01c	9964
FETCH	0	01d	9964
FETCH	0	01e	4
FETCH	0	01f	4
FETCH	0	020	4
FETCH	0	021	4
FETCH	0	022	4
FETCH	0	023	4
FETCH	0	024	4
FETCH	0	025	4
FETCH	0	026	4
FETCH	0	027	4
FETCH	0	028	4
FETCH	0	029	4
FETCH	0	02a	4
FETCH	0	02b	4
FETCH	0	02c	4
FETCH	0	02d	4
FETCH	0	02e	4
FETCH	0	02f	4
FETCH	0	030	4
FETCH	0	031	4
FETCH	0	032	4
FETCH	0	033	4
FETCH	0	034	4
FETCH	0	035	4
FETCH	0	036	4
FETCH	0	037	9964
FETCH	0	038	9964
FETCH	0	039	9964
FETCH	0	03a	9964
FETCH	0	03b	9871
FETCH	0	03c	9871
FETCH	0	03d	9964
FETCH	0	03e	9964
FETCH	0	03f	9964
FETCH	0	040	42
FETCH	0	041	42
FETCH	0	042	42
FETCH	0	043	42
FETCH	0	044	42
FETCH	0	045	42
FETCH	0	046	42
FETCH	0	047	42
FETCH	0	048	42
FETCH	0	049	42
FETCH	0	04a	9964
FETCH	0	04b	9964
FETCH	0	04c	9964
FETCH	0	04d	9964
FETCH	0	04e	9964
FETCH	0	04f	9964
FETCH	0	050	9964
FETCH	0	051	9964
FETCH	0	052	9964
FETCH	0	053	9964
FETCH	0	054	9964
FETCH	0	055	19803
FETCH	0	056	19803
FETCH	0	057	19803
FETCH	0	058	9964
FETCH	0	059	9964
FETCH	0	05a	4
FETCH	0	05b	4
FETCH	0	05c	4
FETCH	0	05d	4
FETCH	0	05e	4
FETCH	0	05f	4
FETCH	0	060	4
